"","id","X","Y","Z","Spit","Level","Code","Sitio","Area","Lot","Materia","Classe","Fragmentacao_Artefacto","Cortex","Peso","Espessura","Largura","Comprimento","Alteracao","Fogo","N_Esquirolas","Tipo_Retocado","Notas"
"756","H19-3502",119.574996948242,127.119003295898,24.0939998626709,"3","5","LITHIC","VB",TRUE,"LOT-160","Outro","Fragmento",NA,NA,1,0,0,0,"Nenhuma",NA,NA,NA,"Quartzito"
"757","H19-3513",119.761001586914,127.402000427246,24.0930004119873,"3","5","LITHIC","VB",TRUE,"LOT-67","Grauvaque","Fragmento",NA,NA,11,0,0,0,"Nenhuma",NA,NA,NA,NA
"758","H19-3518",119.949996948242,127.069999694824,24.1550006866455,"3","5","LITHIC","VB",TRUE,"LOT-67","Grauvaque","Fragmento",NA,NA,3,0,0,0,"Nenhuma",NA,NA,NA,NA
"759","H19-3522",119.779998779297,127.321998596191,24.0909996032715,"3","5","BUCKET","VB",TRUE,"LOT-67","Outro","Fragmento",NA,NA,3.2,0,0,0,"Nenhuma",NA,NA,NA,"Arenito"
"760","H19-3522",119.779998779297,127.321998596191,24.0909996032715,"3","5","BUCKET","VB",TRUE,"LOT-67","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,20,NA,NA
"761","H19-3522",119.779998779297,127.321998596191,24.0909996032715,"3","5","BUCKET","VB",TRUE,"LOT-67","Silex","Fragmento",NA,NA,2.2,0,0,0,"Nenhuma",NA,NA,NA,NA
"762","H19-3522",119.779998779297,127.321998596191,24.0909996032715,"3","5","BUCKET","VB",TRUE,"LOT-67","Silex","Fragmento Lasca","Distal","0%",1.2,3.6,10.79,0,"Nenhuma",NA,NA,NA,NA
"763","H19-3522",119.779998779297,127.321998596191,24.0909996032715,"3","5","BUCKET","VB",TRUE,"LOT-67","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,14,NA,NA
"764","H19-3528",119.531997680664,127.848999023438,24.068000793457,"3","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,8,0,0,0,"Nenhuma",NA,NA,NA,NA
"765","H19-3531",119.730003356934,127.794998168945,24.0820007324219,"3","5","LITHIC","VB",TRUE,"LOT-316","Silex","Fragmento",NA,NA,225,0,0,0,"Nenhuma",NA,NA,NA,NA
"766","H19-3534",119.601997375488,127.858001708984,24.056999206543,"3","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,6,0,0,0,"Nenhuma",NA,NA,NA,NA
"767","H19-3542",119.873001098633,127.75,24.0830001831055,"3","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,107,0,0,0,"Nenhuma",NA,NA,NA,NA
"768","H19-3563",119.61799621582,127.813003540039,24.0610008239746,"3","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"769","H19-3575",119.387001037598,127.127998352051,24.0450000762939,"4","5","LITHIC","VB",TRUE,"LOT-316","Silex","Fragmento",NA,NA,1,0,0,0,"Nenhuma",NA,NA,NA,NA
"770","H19-3582",119.918998718262,127.78800201416,24.0559997558594,"4","5","LITHIC","VB",TRUE,"LOT-316","Silex","Fragmento",NA,NA,4,0,0,0,"Nenhuma",NA,NA,NA,NA
"771","H19-3592",119.703002929688,127.849998474121,24.0620002746582,"4","5","LITHIC","VB",TRUE,"LOT-317","Grauvaque","Núcleo",NA,"0%",136,32.41,79.14,41.84,"Nenhuma",NA,NA,NA,NA
"772","H19-3593",119.238998413086,127.154998779297,24.0149993896484,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,56,0,0,0,"Nenhuma",NA,NA,NA,NA
"773","H19-3593",119.238998413086,127.154998779297,24.0149993896484,"4","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"774","H19-3593",119.238998413086,127.154998779297,24.0149993896484,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,1,NA,NA
"775","H19-3611",119.857002258301,127.825996398926,24.0230007171631,"4","5","LITHIC","VB",TRUE,"LOT-317","Silex","Produto alongado",NA,"0%",3,6.59,14.87,33.42,"Nenhuma",NA,NA,NA,NA
"776","H19-3612",119.251998901367,127.873001098633,24.048999786377,"4","5","LITHIC","VB",TRUE,"LOT-316","Silex","Núcleo",NA,"1-30%",16,17.15,28.45,33.89,"Nenhuma",NA,NA,NA,NA
"777","H19-3628",119.677001953125,127.736999511719,24.0300006866455,"4","5","LITHIC","VB",TRUE,"LOT-316","Silex","Lasca",NA,"0%",2,6.19,20.72,16.15,"Nenhuma",NA,NA,NA,NA
"778","H19-3631",119.77799987793,127.907997131348,24.0219993591309,"4","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"779","H19-3631",119.77799987793,127.907997131348,24.0219993591309,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,4,NA,NA
"780","H19-3635",119.571998596191,127.861999511719,24.0480003356934,"4","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,5,0,0,0,"Nenhuma",NA,NA,NA,NA
"781","H19-3637",119,127.805999755859,24.048999786377,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,5.7,0,0,0,"Nenhuma",NA,NA,NA,NA
"782","H19-3637",119,127.805999755859,24.048999786377,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,3.1,0,0,0,"Nenhuma",NA,NA,NA,NA
"783","H19-3637",119,127.805999755859,24.048999786377,"4","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"784","H19-3637",119,127.805999755859,24.048999786377,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"785","H19-3638",119.51000213623,127.766998291016,24.0499992370605,"4","5","LITHIC","VB",TRUE,"LOT-316","Silex","Lasca",NA,"0%",5,8.71,30.58,23.37,"Nenhuma",NA,NA,NA,NA
"786","H19-3640",119.069000244141,127.679000854492,24.011999130249,"4","5","LITHIC","VB",TRUE,"LOT-317","Outro","Manuport",NA,NA,152,0,0,0,"Nenhuma",NA,NA,NA,"Calcário"
"787","H19-3647",119.71199798584,127.19100189209,24.0599994659424,"4","5","LITHIC","VB",TRUE,"LOT-316","Silex","EMPN",NA,"0%",4,14.05,17.7,35.65,"Nenhuma",NA,NA,NA,NA
"788","H19-3654",119.90599822998,127.078002929688,24.068000793457,"4","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,142,0,0,0,"Nenhuma",NA,NA,NA,NA
