"","id","X","Y","Z","Spit","Level","Code","Sitio","Area","Lot","Materia","Classe","Fragmentacao_Artefacto","Cortex","Peso","Espessura","Largura","Comprimento","Alteracao","Fogo","N_Esquirolas","Tipo_Retocado","Notas"
"1","H18-2290",119.165000915527,126.914001464844,24.2740001678467,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",3,6.22,21.64,22.74,"Nenhuma",NA,NA,NA,NA
"2","H18-2292",119.111999511719,126.861000061035,24.2369995117188,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Produto retocado",NA,"0%",0,2.03,4.47,16.93,"Nenhuma",NA,NA,"Lamela dorso",NA
"3","H18-2294",119.189002990723,126.669998168945,24.2779998779297,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,2,0,0,0,"Nenhuma",NA,NA,NA,NA
"4","H18-2298",119.01000213623,126.781997680664,24.2409992218018,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",4,6.26,17.66,25.96,"Nenhuma",NA,NA,NA,NA
"5","H18-2299",119.092002868652,126.570999145508,24.2490005493164,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,4,0,0,0,"Nenhuma",NA,NA,NA,NA
"6","H18-2307",119.035003662109,126.467002868652,24.246000289917,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",2,4.54,12.17,18.98,"Nenhuma",NA,NA,NA,NA
"7","H18-2308",119.120002746582,126.361999511719,24.2719993591309,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1,6.21,14.99,18.22,"Nenhuma",NA,NA,NA,NA
"8","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,2.7,0,0,0,"Nenhuma",NA,NA,NA,NA
"9","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,1.6,0,0,0,"Nenhuma",NA,NA,NA,NA
"10","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,1.2,0,0,0,"Nenhuma",NA,NA,NA,NA
"11","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,17,NA,NA
"12","H18-2309",119.190002441406,126.725997924805,24.2399997711182,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,23,NA,NA
"13","H18-2313",119.221000671387,126.736000061035,24.2490005493164,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,3,0,0,0,"Nenhuma",NA,NA,NA,NA
"14","H18-2315",119.556999206543,126.792999267578,24.2649993896484,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Lasca",NA,"0%",19,16.13,39.21,32.57,"Nenhuma",NA,NA,NA,NA
"15","H18-2317",119.454002380371,126.801002502441,24.246000289917,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,2.1,0,0,0,"Nenhuma",NA,NA,NA,NA
"16","H18-2317",119.454002380371,126.801002502441,24.246000289917,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,1.8,0,0,0,"Nenhuma",NA,NA,NA,NA
"17","H18-2317",119.454002380371,126.801002502441,24.246000289917,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,2.8,0,0,0,"Nenhuma",NA,NA,NA,NA
"18","H18-2317",119.454002380371,126.801002502441,24.246000289917,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,1.2,0,0,0,"Nenhuma",NA,NA,NA,NA
"19","H18-2317",119.454002380371,126.801002502441,24.246000289917,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,4,NA,NA
"20","H18-2317",119.454002380371,126.801002502441,24.246000289917,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,12,NA,NA
"21","H18-2318",119.651000976562,126.790000915527,24.2560005187988,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Lasca",NA,"0%",9,8.39,26.02,36.07,"Nenhuma",NA,NA,NA,NA
"22","H18-2325",119.627998352051,126.611999511719,24.2830009460449,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,3,0,0,0,"Nenhuma",NA,NA,NA,NA
"23","H18-2326",119.819999694824,126.916999816895,24.2590007781982,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,7,0,0,0,"Nenhuma",NA,NA,NA,NA
"24","H18-2328",119.874000549316,126.920997619629,24.261999130249,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,3,0,0,0,"Nenhuma",NA,NA,NA,NA
"25","H18-2332",119.81600189209,126.563003540039,24.2670001983643,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,1,0,0,0,"Nenhuma",NA,NA,NA,NA
"26","H18-2334",119.842002868652,126.560997009277,24.2649993896484,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1.4,7.28,12.95,13.44,"Nenhuma",NA,NA,NA,NA
"27","H18-2334",119.842002868652,126.560997009277,24.2649993896484,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",0.8,4.17,18.56,11.34,"Nenhuma",NA,NA,NA,NA
"28","H18-2334",119.842002868652,126.560997009277,24.2649993896484,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,14,NA,NA
"29","H18-2334",119.842002868652,126.560997009277,24.2649993896484,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,9,NA,NA
"30","H18-2336",119.390998840332,126.467002868652,24.2709999084473,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",3,8.52,15.53,24.55,"Nenhuma",NA,NA,NA,NA
"31","H18-2337",119.291000366211,126.25700378418,24.3010005950928,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1,5.45,11.32,23.18,"Nenhuma",NA,NA,NA,NA
"32","H18-2339",119.106002807617,126.28099822998,24.2700004577637,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento produto retocado","Proximal","0%",1,2.89,10.3,0,"Nenhuma",NA,NA,"Lamela retocada",NA
"33","H18-2341",119.002998352051,126.123001098633,24.2649993896484,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",3,8.42,16.88,28.56,"Nenhuma",NA,NA,NA,NA
"34","H18-2342",119.03800201416,126.083000183105,24.2900009155273,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,9,0,0,0,"Nenhuma",NA,NA,NA,NA
"35","H18-2343",119.455001831055,126.546997070312,24.2530002593994,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",2,5.14,23.22,16.41,"Nenhuma",NA,NA,NA,NA
"36","H18-2346",119.529998779297,126.165000915527,24.3150005340576,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,3,0,0,0,"Nenhuma",NA,NA,NA,NA
"37","H18-2348",119.365997314453,126.294998168945,24.261999130249,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,3.4,0,0,0,"Nenhuma",NA,NA,NA,NA
"38","H18-2348",119.365997314453,126.294998168945,24.261999130249,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,7,NA,NA
"39","H18-2348",119.365997314453,126.294998168945,24.261999130249,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,5,NA,NA
"40","H18-2349",119.23999786377,126.061996459961,24.2849998474121,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento Lasca","Distal","0%",1,4.86,11.51,0,"Nenhuma",NA,NA,NA,NA
"41","H18-2351",119.758003234863,126.314002990723,24.2959995269775,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Lasca",NA,"0%",12,9.22,37.54,30.2,"Nenhuma",NA,NA,NA,NA
"42","H18-2353",119.890998840332,126.458000183105,24.2789993286133,"1","4E","BONE","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,5,0,0,0,"Nenhuma",NA,NA,NA,NA
"43","H18-2355",119.77799987793,126.319000244141,24.298999786377,"1","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,3,0,0,0,"Nenhuma",NA,NA,NA,NA
"44","H18-2356",119.790000915527,126.299003601074,24.2980003356934,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1,2.99,13.25,20.57,"Nenhuma",NA,NA,NA,NA
"45","H18-2357",119.665000915527,126.194000244141,24.2740001678467,"1","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,2,0,0,0,"Nenhuma",NA,NA,NA,NA
"46","H18-2360",119.794998168945,126.225997924805,24.2569999694824,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Fragmento Lasca","Distal","31-60%",1.6,7.73,14.1,0,"Nenhuma",NA,NA,NA,NA
"47","H18-2360",119.794998168945,126.225997924805,24.2569999694824,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Fragmento Lasca","Distal","0%",1.1,2.55,17.12,0,"Nenhuma",NA,NA,NA,NA
"48","H18-2360",119.794998168945,126.225997924805,24.2569999694824,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,1.7,0,0,0,"Nenhuma",NA,NA,NA,NA
"49","H18-2360",119.794998168945,126.225997924805,24.2569999694824,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,1.3,0,0,0,"Nenhuma",NA,NA,NA,NA
"50","H18-2360",119.794998168945,126.225997924805,24.2569999694824,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,5,NA,NA
"51","H18-2360",119.794998168945,126.225997924805,24.2569999694824,"1","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,10,NA,NA
"52","H18-2360",119.794998168945,126.225997924805,24.2569999694824,"1","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Núcleo",NA,"0%",16.6,27.14,29.2,12.99,"Nenhuma",NA,NA,NA,NA
"53","H18-2366",119.831001281738,126.115997314453,24.2600002288818,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento produto alongado","Outro","0%",0,1.92,7.85,0,"Nenhuma",NA,NA,NA,NA
"54","H18-2372",119.537002563477,126.700996398926,24.25,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Produto retocado",NA,"0%",6,9.38,26.05,29.27,"Nenhuma",NA,NA,"Peça esquirolada",NA
"55","H18-2374",119.560997009277,126.529998779297,24.2350006103516,"2","4E","BUCKET","VB",TRUE,"LOT-98","Calcedonia","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,1,NA,NA
"56","H18-2374",119.560997009277,126.529998779297,24.2350006103516,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"57","H18-2374",119.560997009277,126.529998779297,24.2350006103516,"2","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"58","H18-2374",119.560997009277,126.529998779297,24.2350006103516,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,1.5,0,0,0,"Nenhuma",NA,NA,NA,NA
"59","H18-2374",119.560997009277,126.529998779297,24.2350006103516,"2","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,3.9,0,0,0,"Nenhuma",NA,NA,NA,NA
"60","H18-2374",119.560997009277,126.529998779297,24.2350006103516,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1.1,7.48,17.28,10.35,"Nenhuma",NA,NA,NA,NA
"61","H18-2374",119.560997009277,126.529998779297,24.2350006103516,"2","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Lasca",NA,"0%",1.6,5.66,18.31,15.98,"Nenhuma",NA,NA,NA,NA
"62","H18-2386",119.315002441406,126.263000488281,24.2549991607666,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1,3.08,10.37,19.13,"Nenhuma",NA,NA,NA,NA
"63","H18-2387",119.277000427246,126.440002441406,24.2129993438721,"2","4E","BUCKET","VB",TRUE,"LOT-304","Silex","Fragmento Lasca","Proximal","0%",2,4.47,21.43,0,"Nenhuma",NA,NA,NA,NA
"64","H18-2387",119.277000427246,126.440002441406,24.2129993438721,"2","4E","BUCKET","VB",TRUE,"LOT-304","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,5,NA,NA
"65","H18-2387",119.277000427246,126.440002441406,24.2129993438721,"2","4E","BUCKET","VB",TRUE,"LOT-304","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"66","H18-2393",119.682998657227,126.625999450684,24.2280006408691,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,5,0,0,0,"Nenhuma",NA,NA,NA,NA
"67","H18-2395",119.883003234863,126.488998413086,24.2430000305176,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento Lasca","Proximal","0%",1,2.68,12.27,0,"Nenhuma",NA,NA,NA,NA
"68","H18-2399",119.542999267578,126.394996643066,24.2280006408691,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,5,NA,NA
"69","H18-2400",119.515998840332,126.290000915527,24.2560005187988,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1,3.3,15.29,15.77,"Nenhuma",NA,NA,NA,NA
"70","H18-2408",119.249000549316,126.351997375488,24.2159996032715,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",8,9.96,21.46,25.48,"Nenhuma",NA,NA,NA,NA
"71","H18-2410",119.464996337891,126.677001953125,24.2229995727539,"2","4E","BUCKET","VB",TRUE,"LOT-98","Calcedonia","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"72","H18-2410",119.464996337891,126.677001953125,24.2229995727539,"2","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"73","H18-2410",119.464996337891,126.677001953125,24.2229995727539,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"74","H18-2410",119.464996337891,126.677001953125,24.2229995727539,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1.4,6.12,18.67,15.93,"Nenhuma",NA,NA,NA,NA
"75","H18-2410",119.464996337891,126.677001953125,24.2229995727539,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Núcleo",NA,"0%",4.3,8.85,11.77,25.66,"Nenhuma",NA,NA,NA,NA
"76","H18-2412",119.514999389648,126.695999145508,24.2210006713867,"2","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,25,0,0,0,"Nenhuma",NA,NA,NA,NA
"77","H18-2420",119.247001647949,126.513000488281,24.2040004730225,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",3,6.31,25.36,17.16,"Nenhuma",NA,NA,NA,NA
"78","H18-2424",119.569999694824,126.472999572754,24.2080001831055,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Fragmento",NA,NA,0.8,0,0,0,"Nenhuma",NA,NA,NA,NA
"79","H18-2424",119.569999694824,126.472999572754,24.2080001831055,"2","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,1.6,0,0,0,"Nenhuma",NA,NA,NA,NA
"80","H18-2424",119.569999694824,126.472999572754,24.2080001831055,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,6,NA,NA
"81","H18-2424",119.569999694824,126.472999572754,24.2080001831055,"2","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,13,NA,NA
"82","H18-2428",119.916999816895,126.420997619629,24.2469997406006,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",1,4.99,13.86,15.51,"Nenhuma",NA,NA,NA,NA
"83","H18-2431",119.195999145508,126.176002502441,24.2310009002686,"2","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Lasca",NA,"0%",4,6.32,34.07,14.36,"Nenhuma",NA,NA,NA,NA
"84","H18-2433",119.233001708984,126.149002075195,24.2220001220703,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","EMPN",NA,"0%",5,9.34,26.15,20.9,"Nenhuma",NA,NA,NA,"Tablete"
"85","H18-2434",119.330001831055,126.310997009277,24.2099990844727,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",0,2.98,9.47,15.32,"Nenhuma",NA,NA,NA,NA
"86","H18-2434",119.330001831055,126.310997009277,24.2099990844727,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"87","H18-2434",119.330001831055,126.310997009277,24.2099990844727,"2","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"88","H18-2437",119.995002746582,126.322998046875,24.326000213623,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Produto alongado",NA,"0%",1,4.38,10.06,22.53,"Nenhuma",NA,NA,NA,NA
"89","H18-2440",119.26000213623,126.41300201416,24.2040004730225,"2","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,4,0,0,0,"Nenhuma",NA,NA,NA,NA
"90","H18-2441",119.25700378418,126.46900177002,24.1979999542236,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,1,NA,NA
"91","H18-2441",119.25700378418,126.46900177002,24.1979999542236,"2","4E","BUCKET","VB",TRUE,"LOT-98","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"92","H18-2441",119.25700378418,126.46900177002,24.1979999542236,"2","4E","BUCKET","VB",TRUE,"LOT-98","Silex","Fragmento Lasca","Proximal","1-30%",1.5,8.55,11.16,0,"Nenhuma",NA,NA,NA,NA
"93","H18-2442",119.057998657227,126.920997619629,24.2040004730225,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Fragmento Lasca","Proximal","0%",1,3.2,15.39,0,"Nenhuma",NA,NA,NA,NA
"94","H18-2446",119.053001403809,126.749000549316,24.1979999542236,"2","4E","LITHIC","VB",TRUE,"LOT-98","Grauvaque","Fragmento",NA,NA,10,0,0,0,"Nenhuma",NA,NA,NA,NA
"95","H18-2448",119.649002075195,126.983001708984,24.253999710083,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Produto alongado",NA,"0%",4,7.26,15.03,42.69,"Nenhuma",NA,NA,NA,NA
"96","H18-2449",119.580001831055,126.985000610352,24.2210006713867,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",6,11.1,24.19,19.38,"Nenhuma",NA,NA,NA,NA
"97","H18-2453",119.786003112793,126.943000793457,24.2220001220703,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",3,5.72,19.78,23.34,"Nenhuma",NA,NA,NA,NA
"98","H18-2454",119.694000244141,126.984001159668,24.2199993133545,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Lasca",NA,"0%",6,11.08,14.17,24.83,"Nenhuma",NA,NA,NA,NA
"99","H18-2457",119.008003234863,126.343002319336,24.1919994354248,"2","4E","LITHIC","VB",TRUE,"LOT-98","Silex","Produto alongado",NA,"0%",1,2.86,9.5,26.55,"Nenhuma",NA,NA,NA,NA
"100","H18-2458",119.406997680664,126.977996826172,24.1949996948242,"1","5","LITHIC","VB",TRUE,"LOT-311","Silex","Fragmento produto alongado","Proximal","0%",1,3,12.09,0,"Nenhuma",NA,NA,NA,NA
"101","H18-2459",119.077003479004,126.901000976562,24.1840000152588,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Fragmento Lasca","Distal","0%",2,4.78,16.28,0,"Nenhuma",NA,NA,NA,NA
"102","H18-2464",119.325996398926,126.891998291016,24.1940002441406,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Produto alongado",NA,"0%",0,1.95,7.42,19.72,"Nenhuma",NA,NA,NA,NA
"103","H18-2467",119.056999206543,126.88200378418,24.1609992980957,"1","5","LITHIC","VB",TRUE,"LOT-146","Calcedonia","Produto alongado",NA,"0%",1,2.71,11.91,29.86,"Nenhuma",NA,NA,NA,NA
"104","H18-2471",119.121002197266,126.752998352051,24.1749992370605,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Fragmento",NA,NA,1,0,0,0,"Nenhuma",NA,NA,NA,NA
"105","H18-2472",119.152000427246,126.833999633789,24.1650009155273,"1","5","LITHIC","VB",TRUE,"LOT-146","Grauvaque","Fragmento",NA,NA,3,0,0,0,"Nenhuma",NA,NA,NA,NA
"106","H18-2479",119.157997131348,126.706001281738,24.1800003051758,"1","5","LITHIC","VB",TRUE,"LOT-146","Grauvaque","Fragmento",NA,NA,5,0,0,0,"Nenhuma",NA,NA,NA,NA
"107","H18-2481",119.274002075195,126.670997619629,24.1749992370605,"1","5","LITHIC","VB",TRUE,"LOT-146","Grauvaque","Fragmento",NA,NA,9,0,0,0,"Nenhuma",NA,NA,NA,NA
"108","H18-2489",119.056999206543,126.607002258301,24.17799949646,"1","5","LITHIC","VB",TRUE,"LOT-146","Grauvaque","Fragmento",NA,NA,5,0,0,0,"Nenhuma",NA,NA,NA,NA
"109","H18-2494",119.272003173828,126.583999633789,24.1879997253418,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Núcleo",NA,"0%",7,15.14,14.99,26.71,"Nenhuma",NA,NA,NA,NA
"110","H18-2495",119.014999389648,126.609001159668,24.1800003051758,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Fragmento",NA,NA,8,0,0,0,"Nenhuma",NA,NA,NA,NA
"111","H18-2498",119.099998474121,126.508003234863,24.1830005645752,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Fragmento",NA,NA,1,0,0,0,"Nenhuma",NA,NA,NA,NA
"112","H18-2499",119.180999755859,126.509002685547,24.1849994659424,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Fragmento Lasca","Proximal","0%",3,8.48,17.39,0,"Nenhuma",NA,NA,NA,NA
"113","H18-2501",119.200996398926,126.712997436523,24.1650009155273,"1","5","BUCKET","VB",TRUE,"LOT-311","Grauvaque","Fragmento",NA,NA,2.2,0,0,0,"Nenhuma",NA,NA,NA,NA
"114","H18-2501",119.200996398926,126.712997436523,24.1650009155273,"1","5","BUCKET","VB",TRUE,"LOT-311","Silex","Lasca",NA,"31-60%",2,5.91,26.4,13.42,"Nenhuma",NA,NA,NA,NA
"115","H18-2501",119.200996398926,126.712997436523,24.1650009155273,"1","5","BUCKET","VB",TRUE,"LOT-311","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,17,NA,NA
"116","H18-2501",119.200996398926,126.712997436523,24.1650009155273,"1","5","BUCKET","VB",TRUE,"LOT-311","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,24,NA,NA
"117","H18-2501",119.200996398926,126.712997436523,24.1650009155273,"1","5","BUCKET","VB",TRUE,"LOT-311","Calcedonia","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"118","H18-2504",119.192001342773,126.53800201416,24.1749992370605,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Fragmento",NA,NA,0,0,0,0,"Nenhuma",NA,NA,NA,NA
"119","H18-2506",119.161003112793,126.513000488281,24.17799949646,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Lasca","Distal","0%",5,9.13,19.5,26.54,"Nenhuma",NA,NA,NA,NA
"120","H18-2508",119.068000793457,126.561996459961,24.1550006866455,"1","5","LITHIC","VB",TRUE,"LOT-146","Grauvaque","Fragmento",NA,NA,10,0,0,0,"Nenhuma",NA,NA,NA,NA
"121","H18-2511",119.319000244141,126.693000793457,24.1830005645752,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Fragmento Lasca","Distal","0%",0,3.72,10.46,0,"Nenhuma",NA,NA,NA,NA
"122","H18-2519",119.439002990723,126.740997314453,24.1900005340576,"1","5","LITHIC","VB",TRUE,"LOT-146","Grauvaque","Fragmento",NA,NA,14,0,0,0,"Nenhuma",NA,NA,NA,NA
"123","H18-2522",119.456001281738,126.778999328613,24.1790008544922,"1","5","LITHIC","VB",TRUE,"LOT-146","Silex","Fragmento Lasca","Distal","0%",0,2.6,9.16,0,"Nenhuma",NA,NA,NA,NA
"124","H18-2523",119.319000244141,126.592002868652,24.1730003356934,"1","5","LITHIC","VB",TRUE,"LOT-146","Grauvaque","Fragmento",NA,NA,3,0,0,0,"Concrecao",NA,NA,NA,NA
"125","H18-2526",119.516998291016,126.630996704102,24.2019996643066,"1","5","LITHIC","VB",TRUE,"LOT-146","Calcedonia","Lasca",NA,"0%",2,5.92,15.68,14.73,"Nenhuma",NA,NA,NA,NA
"126","H18-2527",119.502998352051,126.820999145508,24.1849994659424,"1","5","LITHIC","VB",TRUE,"LOT-146","Grauvaque","Fragmento",NA,NA,6,0,0,0,"Nenhuma",NA,NA,NA,NA
"127","H18-2540",119.532997131348,126.980003356934,24.1569995880127,"1","5","LITHIC","VB",TRUE,"LOT-61","Grauvaque","Fragmento",NA,NA,6,0,0,0,"Nenhuma",NA,NA,NA,NA
"128","H18-2546",119.747001647949,126.890998840332,24.1580009460449,"1","5","LITHIC","VB",TRUE,"LOT-61","Grauvaque","Lasca",NA,"0%",5,8.72,31.3,19.04,"Nenhuma",NA,NA,NA,NA
"129","H18-2550",119.759002685547,126.804000854492,24.1580009460449,"1","5","LITHIC","VB",TRUE,"LOT-61","Silex","Lasca",NA,"0%",1,3.06,9.64,18.25,"Nenhuma",NA,NA,NA,NA
"130","H18-2552",119.623001098633,126.924003601074,24.1389999389648,"1","5","LITHIC","VB",TRUE,"LOT-61","Grauvaque","Lasca",NA,"0%",9,10.16,30.42,35.93,"Nenhuma",NA,NA,NA,NA
